,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,2.9996030807495115,0.5418401017326269,0.0025962352752685546,0.0006629986373273331,0.1,"(21,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (21,), 'pca__n_components': 8}",0.7331917905166313,0.7361702127659574,0.7279829545454546,0.7136752136752137,0.74,0.709585121602289,0.7120343839541547,0.7351040918880115,0.7482014388489209,0.7053314121037464,0.7261428571428571,0.014026352364981693,16,0.7445777389369985,0.7377283558379666,0.7307020330368488,0.7353127977135598,0.7454761904761905,0.7298841453737502,0.7335766423357665,0.7342746093440152,0.747501982553529,0.731129083412623,0.7370163579021247,0.006219715558969248
1,4.032581353187561,0.8414978160533845,0.00278627872467041,0.0003963833928824522,0.1,"(21,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (21,), 'pca__n_components': 10}",0.772823779193206,0.7815602836879433,0.7798295454545454,0.7977207977207977,0.7928571428571428,0.7868383404864091,0.7815186246418339,0.7817659727207465,0.8050359712230216,0.7881844380403458,0.7867857142857143,0.009028070908670327,12,0.7681735123540161,0.7907069102462272,0.7901842439644219,0.8100984439504605,0.7965079365079365,0.8116172036184732,0.7956204379562044,0.7982866661378599,0.8081681205392546,0.8055819854107199,0.7974945460685574,0.012255562957408263
2,3.7676308155059814,0.7336580860317158,0.002601814270019531,0.00048423308562954744,0.1,"(21,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (21,), 'pca__n_components': 12}",0.8039631988676574,0.8148936170212766,0.8075284090909091,0.7941595441595442,0.7935714285714286,0.8032904148783977,0.8173352435530086,0.8140703517587939,0.8035971223021583,0.7881844380403458,0.8040714285714285,0.00929910511897208,6,0.8217208230714229,0.823034154090548,0.8233005082592122,0.8121625912988251,0.8057142857142857,0.8293128074908744,0.8338622659473183,0.812802411358769,0.8076923076923077,0.8167618141452585,0.8186363969068822,0.008732893976680858
3,4.906783843040467,0.9060767357587733,0.0030980587005615236,0.0007025886780628505,0.1,"(42,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'pca__n_components': 8}",0.8075017692852088,0.7872340425531915,0.7897727272727273,0.7905982905982906,0.7757142857142857,0.7753934191702432,0.7886819484240688,0.8090452261306532,0.7949640287769785,0.7953890489913544,0.7914285714285715,0.010629633331567447,9,0.8230714228966394,0.8124702144559174,0.8113881829733164,0.8112099079072721,0.7976984126984127,0.8038406602126646,0.8241034592192955,0.8233521059728722,0.8020618556701031,0.8116872819536949,0.8120883503960188,0.008769588244359496
4,4.852004337310791,1.2598017315230685,0.0031018972396850584,0.00030026744901064095,0.1,"(42,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'pca__n_components': 10}",0.8421797593772116,0.8404255319148937,0.8252840909090909,0.8183760683760684,0.8392857142857143,0.7882689556509299,0.8287965616045845,0.8506819813352476,0.839568345323741,0.8321325648414986,0.8305,0.016619974288800285,4,0.8712957813617224,0.8573471008737092,0.8569726810673444,0.8323277230866942,0.8474603174603175,0.809871448976353,0.8575055537924469,0.8565082890457683,0.8564631245043616,0.851569933396765,0.8497321953565482,0.01620919209052446
5,5.858976650238037,1.2194958064317218,0.0027919769287109374,0.0005921460249342061,0.1,"(42,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'pca__n_components': 12}",0.8627034677990092,0.8787234042553191,0.8799715909090909,0.8646723646723646,0.8864285714285715,0.857653791130186,0.8631805157593123,0.8707824838478104,0.8812949640287769,0.8551873198847262,0.8700714285714286,0.010354130587468747,2,0.8818622388178279,0.9049245432883241,0.9021601016518425,0.8959193394728485,0.9038888888888889,0.8903348674813522,0.8927324658838464,0.8789561354802887,0.905471847739889,0.8828893117665715,0.8939139740471681,0.009649178808351847
6,3.584480714797974,0.8451698536375657,0.002283620834350586,0.00045653568156582764,0.1,"(18,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (18,), 'pca__n_components': 8}",0.7140835102618542,0.6737588652482269,0.7237215909090909,0.7143874643874644,0.7221428571428572,0.7052932761087267,0.7249283667621776,0.7286432160804021,0.7143884892086331,0.6865994236311239,0.7107857142857142,0.016857511475542795,18,0.7216175419083181,0.6762509928514694,0.7191073697585769,0.722451571927596,0.7247619047619047,0.7149658784319949,0.7357188194224056,0.7268184342032205,0.7190325138778747,0.7244687599111956,0.7185193787054557,0.015046504438819025
7,3.280914640426636,0.5979170399834957,0.0026997089385986327,0.00044783445940611643,0.1,"(18,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (18,), 'pca__n_components': 10}",0.7770700636942676,0.7624113475177305,0.7620738636363636,0.7443019943019943,0.7521428571428571,0.7553648068669528,0.7399713467048711,0.7688442211055276,0.7755395683453238,0.7600864553314121,0.7597857142857143,0.01162637706776761,13,0.7765948994994836,0.7712470214455918,0.7731099110546379,0.7636551286122578,0.7572222222222222,0.7672591652118711,0.7596794668359251,0.7784564131038312,0.7698651863600318,0.7630827783063748,0.7680172192652227,0.0067255984528556976
8,3.385841488838196,0.5221685931443053,0.0024963140487670897,0.0004960626824170062,0.1,"(18,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (18,), 'pca__n_components': 12}",0.7968860580325549,0.8092198581560284,0.7954545454545454,0.7863247863247863,0.7871428571428571,0.7696709585121603,0.7936962750716332,0.7867910983488873,0.8014388489208633,0.8061959654178674,0.7932857142857143,0.0109091415005154,8,0.7992373083339954,0.8138999205718824,0.8073379923761118,0.8174023499523658,0.7988888888888889,0.7886843358197112,0.8098222786417011,0.7922582692155152,0.8102299762093577,0.8114494132572153,0.8049210733266745,0.009109004521729736
9,3.508278727531433,1.0071182053074976,0.0025025129318237303,0.0005029051208031517,0.01,"(21,)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (21,), 'pca__n_components': 8}",0.7544232130219392,0.7567375886524823,0.7294034090909091,0.7150997150997151,0.7357142857142858,0.7052932761087267,0.7220630372492837,0.747307968413496,0.741726618705036,0.7442363112391931,0.7352142857142857,0.016166983556763315,15,0.7606260427425121,0.7617156473391581,0.7264135959339263,0.7352334074309305,0.7401587301587301,0.7243294715124583,0.7448429070136464,0.7515665899896883,0.7476605868358446,0.7676815731049794,0.7460228552061874,0.01403335455728291
