,0
1,0.7316560221585863
2,0.5669106993634874
3,0.4587821197970017
4,0.3736288861053368
5,0.30763129973822534
6,0.24654754738475007
7,0.19130383635659676
8,0.15229582616896317
9,0.11531430383701324
10,0.08466701433430388
11,0.05806222456169743
12,0.04130332634863434
13,0.02546306853991554
14,0.012004329903945885
15,0.004664842235287056
16,7.6487588556430754e-31
