,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.110122537612915,1.194583989619207,0.01561431884765625,0.0006183120310178122,0.1,"(50, 50)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 1}",0.0393916728995263,0.04018971542685971,0.040229885057471264,0.040320560981718004,0.04037111334002006,0.0401,0.00036052474965468694,177,0.04096566389392708,0.04014005251969489,0.040255031878984875,0.04023239832573249,0.04021983512365726,0.040362596348399324,0.00030401270619496084
1,8.253943395614623,4.444239906351888,0.015810775756835937,0.00039027154869446923,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.13462976813762154,0.1385421867199201,0.14517741129435283,0.0405709992486852,0.04037111334002006,0.09995,0.04858562828240493,155,0.13734442429170055,0.13705139427285232,0.13982997874734343,0.040669707003186104,0.04021983512365726,0.09902306788774792,0.04783893570769629
2,8.787901353836059,1.5471963307443068,0.015616178512573242,0.0006173307956189222,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.28272251308900526,0.28806789815277084,0.2786106946526737,0.2772351615326822,0.26930792377131396,0.2792,0.006212257222745152,129,0.2847582713115267,0.28648243091159187,0.27478434804350543,0.27487974011370025,0.2752935298526105,0.27923966404658696,0.00524105810824878
3,11.969270658493041,4.937734289327162,0.016005897521972658,0.0009950891473786215,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.3131388681126901,0.2865701447828258,0.40604697651174415,0.1620335587277736,0.1787863590772317,0.26945,0.09009872860111365,130,0.31246481956344985,0.29573590096286106,0.3989873734216777,0.16199162866246017,0.1770547089682738,0.2692468863157445,0.08877515362307518
4,17.607621288299562,3.201864199886398,0.016396093368530273,0.0011374850853376579,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.44078783345799055,0.44658012980529205,0.4530234882558721,0.33909341347357874,0.4506018054162487,0.42605,0.04362808852076576,103,0.4591906936018513,0.4502938601975741,0.45199399924990624,0.3360404822889986,0.444229328003997,0.4283496726684654,0.04640025905122512
5,34.13968911170959,26.34941634795115,0.02440052032470703,0.009563316368158497,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.5547245076040888,0.6485272091862206,0.6289355322338831,0.12546957175056347,0.4907221664994985,0.4899,0.19043762611471154,89,0.5626368128088061,0.6466174815555833,0.6283285410676335,0.12844380583494722,0.49793904571571324,0.49279313739653674,0.18957153229382773
6,23.553605556488037,5.789996834577089,0.016982364654541015,0.0009958742553604887,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 12}",0.6120668162552979,0.626310534198702,0.6724137931034483,0.4988730277986476,0.566950852557673,0.5954,0.058783684156610894,73,0.6326849709175058,0.6324246592472177,0.6642705338167271,0.4995939276566502,0.5735698226330253,0.6005087828542252,0.0583592438391167
7,19.194205665588377,5.96376944175875,0.016591739654541016,0.000617707992097145,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.62503116429818,0.6392910634048926,0.5992003998001,0.3330828950663661,0.3708625877632899,0.51375,0.13300091517284376,83,0.6494464944649446,0.6435538326872577,0.5833229153644206,0.34884737927156867,0.3667874094429178,0.5183916062462218,0.13325623358500704
8,15.433679246902466,8.43757648833089,0.017177486419677736,0.001171676601795942,0.1,"(50, 50)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 16}",0.4881575666915981,0.6095856215676485,0.6714142928535732,0.4931129476584022,0.4864593781344032,0.5498,0.07667483155117923,78,0.5012821314653825,0.6091034137801675,0.6637704713089136,0.5096520272380833,0.4888208843367474,0.5545257856258589,0.06939566816243815
9,1.6285532474517823,0.4431498280564527,0.013663959503173829,0.0025454481384676714,0.1,"(50,)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 1}",0.040638244826726504,0.04068896655017474,0.038980509745127435,0.0405709992486852,0.040621865596790374,0.0403,0.0006610249481609822,176,0.04065294890237038,0.04064024009003376,0.038379797474684334,0.040669707003186104,0.04065700724456658,0.04019994014296823,0.0009101199427230543
10,3.8600792407989504,0.9568583884736456,0.012101840972900391,0.0007810831852278818,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",0.11144353029169783,0.11432850723914129,0.1191904047976012,0.10668670172802404,0.11083249749247744,0.1125,0.0041414748108897104,151,0.10832447307523922,0.11754407902963611,0.11901487685960745,0.1064534266258512,0.11460154883837122,0.11318768088574105,0.0049786426049360545
