,2,5,10,20,26,28,35,38,45,50,60,70,80,100,150,200
GMM,,,,,,,,,,,,,,,,
Kmeans,0.0571,0.11495,0.1776,0.2564,0.31415,0.32785,0.373,0.36895,0.3964,0.41255,0.4289,0.4712,0.49675,0.5381,0.59485,0.655
