,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.670989990234375,0.8101787752196844,0.007771968841552734,0.0007526789430022883,0.1,"(42, 42)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 2}",0.09676271789398791,0.09586600142551675,0.09246697607997144,0.09234073013600573,0.09218077474892396,0.09392857142857143,0.0019758635062174187,304,0.09384216641344177,0.10050026800071467,0.09616930083043129,0.09369980367660181,0.0942739921512665,0.0956971062144912,0.0025592422171527578
1,3.475294589996338,1.1762350006777995,0.010783052444458008,0.0007421528762953358,0.1,"(42, 42)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 5}",0.15297047314123088,0.14255167498218105,0.14066404855408782,0.14531138153185397,0.1366571018651363,0.14364285714285716,0.005455008001671663,288,0.14925373134328357,0.14436305163480437,0.1480489329404411,0.14090665714795644,0.1419015340706386,0.1448947814274248,0.003289270974419133
2,5.817512369155883,2.659620183128579,0.0139678955078125,0.002089336191632334,0.1,"(42, 42)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 10}",0.20277481323372465,0.20099786172487527,0.2202784719742949,0.20007158196134575,0.21341463414634146,0.2075,0.007975302939423558,269,0.20028599517383144,0.20162587100232268,0.2147513170818823,0.20926289487774408,0.20504816268283982,0.20619484816372408,0.005286417587297813
3,9.617742347717286,2.0240036652615347,0.019161701202392578,0.0019239995437346914,0.1,"(42, 42)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 20}",0.3144788331554607,0.3164647184604419,0.2666904676901107,0.31352899069434503,0.31456241032998566,0.30514285714285716,0.019254093924911297,258,0.31486281169005276,0.3210648561729498,0.27368515045986247,0.31331429591290383,0.3250089190153407,0.30958720665022194,0.018440425659095
4,20.30789523124695,1.5702356510567406,0.04308428764343262,0.03680365866422312,0.1,"(42, 42)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 26}",0.38705087157595164,0.3328581610833927,0.3570153516601214,0.38188976377952755,0.39418938307030127,0.37057142857142855,0.022649757023438386,226,0.3734024488336759,0.34268358048954795,0.35904991517099744,0.37265750490808497,0.39529075990010704,0.3686168418604826,0.017405671645563885
5,25.754341077804565,5.760018571669274,0.0247342586517334,0.0011619685142542717,0.1,"(42, 42)",28,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 28}",0.3849163998577019,0.36564504632929434,0.3837915030346305,0.37151037938439513,0.36262553802008607,0.3737142857142857,0.009166233937211233,211,0.37635177406381265,0.3690369840986243,0.38253415483525316,0.36935570230233805,0.37183374955404924,0.3738224729708155,0.005081313407087571
6,19.853226709365845,2.188781035361217,0.03291850090026856,0.0025880933159062778,0.1,"(42, 42)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 35}",0.3941657773034507,0.4080541696364932,0.42020706890396287,0.40336435218324984,0.4013629842180775,0.4054285714285714,0.0086423310676174,182,0.3862722316560908,0.41281043416115776,0.42003750334851325,0.40058897019453865,0.4088476632179807,0.40571136051565626,0.011572296428565516
7,20.9776713848114,2.9979983193729227,0.03490514755249023,0.0030872661581469872,0.1,"(42, 42)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 40}",0.44112415510494485,0.436208125445474,0.41163870046411993,0.4366499642090193,0.4383070301291248,0.4327857142857143,0.010715888757799085,168,0.4370363750111717,0.432106485617295,0.4138762389499062,0.4331608067106907,0.4476453799500535,0.4327650572478234,0.01092745121315695
8,19.08074712753296,4.852487436382173,0.03271617889404297,0.0031727223256639834,0.1,"(42, 42)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 45}",0.44041266453219496,0.44689950106913756,0.4751874330596216,0.4559770937723694,0.4401004304160689,0.45171428571428573,0.01307732269258604,149,0.44427562784878005,0.4526532070752189,0.4841503705688008,0.4606460824558272,0.4546022119158045,0.4592654999728863,0.013500575778332823
9,17.861962699890135,5.457170094707157,0.035484838485717776,0.0013479127528588097,0.1,"(42, 42)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 50}",0.4574884382781928,0.45260156806842483,0.485183862906105,0.46492483894058695,0.4684361549497848,0.4657142857142857,0.011202149197971738,130,0.4566985432120833,0.4737359299624799,0.4953120814358425,0.46046760663930036,0.47128077060292545,0.4714989863705263,0.013511916872193986
10,25.024699687957764,3.4941684902636974,0.04389843940734863,0.0017747610091150361,0.1,"(42, 42)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'gmm__n_components': 60}",0.5087157595161864,0.46008553100498933,0.5269546590503391,0.4914101646385111,0.5125538020086083,0.49992857142857144,0.022935470165995783,105,0.5097863973545447,0.4721279256744685,0.5246004107509599,0.49393182223808674,0.5121298608633607,0.502515283376284,0.018056186547023408
