,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,5.9093982696533205,1.6309241343496743,0.013763332366943359,0.005100771587837746,0.1,"(42, 42)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 2}",0.12842404838135896,0.116535994297933,0.10924669760799714,0.1224051539012169,0.11083213773314203,0.1175,0.00717154228729709,305,0.12467602109214407,0.1255136680364481,0.11626038039110635,0.12439764411922184,0.11362825544059936,0.12089519381590394,0.004943318844237385
1,21.863335609436035,5.9917157986683725,0.01276555061340332,0.001716138883972754,0.1,"(42, 42)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 5}",0.42191390964069725,0.4126870990734141,0.4476972509817922,0.4409448818897638,0.4483500717360115,0.4342857142857143,0.014438172601793187,276,0.4221110018768433,0.4221011256030016,0.46843468166800606,0.43887203283955023,0.45594006421691047,0.4414917812408623,0.01840189110331874
2,19.55191602706909,5.882146870743221,0.014760732650756836,0.004203589423155353,0.1,"(42, 42)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 10}",0.5830665243685521,0.5634354953670706,0.6758300606926098,0.6589119541875448,0.6538737446197992,0.6269285714285714,0.04496072030045311,243,0.609259093752793,0.5742361979631946,0.689257969461559,0.6717829734071034,0.6656261148769176,0.6420324698923136,0.04322598529513792
3,23.426754426956176,3.2093075076020803,0.012368011474609374,0.0007985016784509805,0.1,"(42, 42)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 20}",0.7139807897545357,0.7498218104062723,0.7475901463762942,0.7140300644237653,0.7410329985652798,0.7332857142857143,0.016016311659070925,55,0.7335776208776477,0.7625513668036448,0.7589070452718992,0.7200606817776192,0.7501783803068142,0.745055019007525,0.0160043569707047
4,25.01351156234741,2.619568831354094,0.015558195114135743,0.0038163121572269486,0.1,"(42, 42)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 26}",0.7509782995375311,0.7327156094084105,0.7390217779364513,0.7036506800286327,0.7439024390243902,0.7340714285714286,0.016327863214632362,52,0.7552953793904728,0.7477219939253171,0.7508706134476293,0.7180974477958236,0.7482161969318587,0.7440403262982203,0.013246543395982326
5,28.336824560165404,2.465702056629449,0.013763427734375,0.0013226647530662661,0.1,"(42, 42)",28,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 28}",0.744574884382782,0.755167498218104,0.7483041770796144,0.7229778095919828,0.7291965566714491,0.7400714285714286,0.012048771592652496,43,0.7511841987666458,0.77532606753618,0.7562282346638093,0.7443333928252722,0.7299322154834106,0.7514008218550636,0.014876947492831836
6,39.28223557472229,12.629296294105956,0.016356468200683594,0.0010165135199611812,0.1,"(42, 42)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 35}",0.7250088936321594,0.7530292230933714,0.797215280257051,0.7473156764495347,0.7751076040172167,0.7595,0.02469782977808709,13,0.7398337653052105,0.7669287118098982,0.8193588713277972,0.7493307156880242,0.7832679272208348,0.771743998270353,0.028084808215238018
7,35.90398826599121,3.217066051167919,0.021143531799316405,0.009469376174880532,0.1,"(42, 42)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 40}",0.7790821771611526,0.7647897362794013,0.7397358086397715,0.7483894058697208,0.7170014347202296,0.7498571428571429,0.021262252778717898,26,0.7885423183483778,0.7855994282651421,0.7556924725421913,0.7509369980367661,0.7285943631823046,0.7618731160749563,0.022536453431546595
8,26.80671591758728,6.075075335617432,0.013364219665527343,0.0016207869566100582,0.1,"(42, 42)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 45}",0.7577374599786553,0.7327156094084105,0.7193859335951446,0.6857551896921976,0.7586083213773315,0.7308571428571429,0.027044931320020768,56,0.7630708731790151,0.7433446489190638,0.7247075631752835,0.6857040870961985,0.7759543346414556,0.7385563014022034,0.031646957196648506
9,24.704138851165773,2.1842084944825317,0.012766027450561523,0.0003991845794270171,0.1,"(42, 42)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 50}",0.7552472429740306,0.7754811119030649,0.7640128525526597,0.7727272727272727,0.7779770444763271,0.7690714285714285,0.008377779523374798,9,0.7639646080972383,0.7881901018402716,0.7824805786230914,0.7844904515438158,0.789154477345701,0.7816560434900237,0.009171925013546234
10,26.730322122573853,4.506465880251712,0.014759445190429687,0.0017164168019673832,0.1,"(42, 42)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 60}",0.7541800071149057,0.7416250890947969,0.73545162441985,0.7172512526843235,0.7865853658536586,0.747,0.023054267487234027,32,0.7569041022432746,0.7562086832231553,0.7456022859183856,0.721488488309834,0.7931680342490189,0.7546743187887336,0.023120092834519965
