,Letter SSE
2,263292.78197986336
5,206888.24158475414
10,167315.03999925862
20,132932.65016550024
26,121638.30319844329
28,118044.11504676222
35,108130.52931503319
38,104564.49649031245
45,98181.47972789017
50,94130.6644294866
60,87602.74524052236
70,82100.15112311946
80,77611.16445166651
100,70934.2508380807
150,59905.04109345235
200,52916.27147196054
