,2,5,10,15,20,25,26,28,35,38,45
GMM,0.07165,0.14065,0.17625,0.25665,0.29395,0.32775,0.34195,0.3475,0.4181,0.4083,0.4246
Kmeans,0.0524,0.10505,0.1548,0.22115,0.24535,0.28545,0.2837,0.30545,0.327,0.35355,0.3888
