,Letter log-likelihood
2,-17.209070869425435
5,-14.746677331827037
10,-12.334087236999832
20,-10.214684603692323
26,-7.873344265692388
28,-7.845671175251045
35,-7.422726583224858
38,-6.5568256556161195
45,-6.4001731706441385
50,-6.251889090463816
60,-3.96737690108784
70,-3.236095998584787
80,-3.1781936717313006
100,-1.6019482079191543
150,0.2200323174099979
200,1.6860427278331855
