,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,1.5127538919448853,0.5014762307397723,0.003490734100341797,0.0004993466496663546,0.1,"(42,)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 1}",0.08067940552016985,0.07446808510638298,0.08380681818181818,0.07193732193732194,0.07285714285714286,0.07796852646638054,0.08022922636103152,0.06604450825556353,0.07553956834532374,0.07492795389048991,0.07585714285714286,0.0048337907439584115,16,0.07722253118296656,0.07116759332803813,0.08418043202033036,0.0747062559542712,0.08658730158730159,0.08022536105380099,0.0829895271342431,0.07955897517252321,0.08199841395717684,0.07944814462416747,0.07980845360148195,0.004332803782892636
1,1.9028257608413697,0.6676070085789421,0.003690195083618164,0.00045028188576493234,0.1,"(42,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 2}",0.13658881811748053,0.14397163120567377,0.1455965909090909,0.14245014245014245,0.12571428571428572,0.13948497854077252,0.14398280802292263,0.15577889447236182,0.1316546762589928,0.14697406340057637,0.1412142857142857,0.007972874119085384,15,0.15253833320092158,0.14932486100079428,0.15358958068614995,0.14012384884090187,0.13563492063492064,0.14616727503570862,0.15471278959060616,0.1361148568255731,0.14678826328310865,0.14335553441167143,0.14583502635103562,0.006590670622712921
2,3.190076756477356,1.1174917854477915,0.0038894891738891603,0.0006936322752329799,0.1,"(42,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 3}",0.28308563340410475,0.2936170212765957,0.2883522727272727,0.29985754985754987,0.26071428571428573,0.2510729613733906,0.27435530085959886,0.28499641062455133,0.2633093525179856,0.2615273775216138,0.27614285714285713,0.015466797872595629,14,0.29991260824660365,0.2902303415409055,0.2846251588310038,0.2950936805335027,0.2637301587301587,0.27027455959371527,0.2851475721993018,0.27897199968271597,0.2796193497224425,0.28068506184586106,0.2828290490926211,0.010284981129827024
3,3.620629668235779,0.6628542012238221,0.0034905433654785155,0.000676782549598913,0.1,"(42,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 4}",0.4154281670205237,0.44113475177304967,0.3927556818181818,0.42806267806267806,0.42,0.4263233190271817,0.4183381088825215,0.42426417803302224,0.43884892086330934,0.4099423631123919,0.4215,0.013318999554039496,13,0.4310796853896878,0.43868149324861,0.41812261753494284,0.44903143855192124,0.41134920634920635,0.44008887478178066,0.432640431609013,0.43444118346950106,0.4444885011895321,0.44100856327307325,0.4340931995397269,0.011043992522352943
4,3.155125141143799,0.5842749940456875,0.0033945322036743166,0.0006552307086017923,0.1,"(42,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 5}",0.5038924274593064,0.49645390070921985,0.5348011363636364,0.5263532763532763,0.5014285714285714,0.5135908440629471,0.4992836676217765,0.5290739411342427,0.5136690647482014,0.4899135446685879,0.5108571428571429,0.014415757185672022,12,0.5188686740287598,0.49833200953137413,0.5310514612452351,0.5288186725944745,0.5287301587301587,0.5311855261069671,0.506267851475722,0.5316887443483779,0.5219666931007138,0.5306850618458611,0.5227594853007644,0.011131516706244623
5,4.432553124427796,1.016369210063077,0.00329737663269043,0.00046098081276771863,0.1,"(42,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 6}",0.5392781316348195,0.5595744680851064,0.5298295454545454,0.5462962962962963,0.5092857142857142,0.4907010014306152,0.5128939828080229,0.5269203158650395,0.5086330935251798,0.5381844380403458,0.5262142857142857,0.01970537649100022,11,0.5577182807658696,0.566878474980143,0.553923125794155,0.5544617338837726,0.543968253968254,0.5237263926360896,0.541653443351317,0.5289125089236139,0.5231562252180809,0.5413891531874405,0.5435787592708735,0.014153430874282995
6,5.336467576026917,1.8427405333232085,0.003404092788696289,0.00047920268292888355,0.1,"(42,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 7}",0.6518046709129511,0.6943262411347517,0.6946022727272727,0.6417378917378918,0.6292857142857143,0.6759656652360515,0.6826647564469914,0.6891600861450108,0.6877697841726619,0.6887608069164265,0.6735714285714286,0.022568138641577282,10,0.6796695002780647,0.7104050833995235,0.698777001270648,0.6598126389329946,0.6441269841269841,0.7096492620219013,0.6967629324024119,0.6949313873245022,0.698731165741475,0.7127339042182049,0.6905599859716711,0.021591224848950135
7,5.970338654518128,1.0761037653183183,0.003592848777770996,0.0004851855136111265,0.1,"(42,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 8}",0.673036093418259,0.6843971631205674,0.6867897727272727,0.6944444444444444,0.7042857142857143,0.6988555078683834,0.6919770773638968,0.6877243359655419,0.6899280575539568,0.6786743515850144,0.689,0.008722684963786526,9,0.7055692381028045,0.6929308975377284,0.6997299872935197,0.7111781517942204,0.7072222222222222,0.7105221393429615,0.7204062202475404,0.7046878718172443,0.6897700237906423,0.7130510624801776,0.7055067814629061,0.00882618098904319
8,6.384779047966004,1.2605494547721061,0.004886937141418457,0.0008282977473835034,0.1,"(42,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 9}",0.7537154989384289,0.7652482269503547,0.7414772727272727,0.7492877492877493,0.7621428571428571,0.7360515021459227,0.7363896848137536,0.7573582196697775,0.7474820143884892,0.7226224783861671,0.7472142857142857,0.01254502223537407,8,0.7692857710336061,0.7830023828435266,0.7599269377382465,0.7727056208320101,0.7628571428571429,0.7555943501031582,0.7753094255791813,0.7720314111208059,0.7509912767644726,0.7501585791309864,0.7651862898003137,0.010452340984481159
9,7.5078620433807375,1.9441744006996253,0.004192233085632324,0.0008689667974620379,0.1,"(42,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'rp__n_components': 10}",0.7537154989384289,0.7716312056737589,0.7961647727272727,0.7934472934472935,0.8,0.7832618025751072,0.7865329512893983,0.7961234745154343,0.7848920863309352,0.797550432276657,0.7862857142857143,0.013630304218697353,7,0.7980456026058632,0.7702938840349484,0.8173443456162643,0.8166878374087012,0.8188888888888889,0.8134423107443263,0.8113297365915583,0.8126437693344967,0.8014274385408406,0.827465905486838,0.8087569719252725,0.015102532519284716
