,0,1,2,3,4,5,6,7,8,9
2,0.9988719765292354,0.9988981509337761,0.9988766436424105,0.998893502719761,0.9985428148875074,0.9985742356752153,0.9990334291887036,0.9989499571024413,0.9988944556169883,0.9988740044680793
40,0.9783297949324532,0.9772310970843215,0.9776297029711523,0.9769771783388396,0.9776988564112786,0.9770325669940605,0.9778538660846617,0.9773430487443044,0.9785949463371926,0.9767723048374637
80,0.955509425787569,0.9557267657499723,0.9558695366537194,0.9536314777328735,0.9558668925466182,0.9529596493466255,0.95608893249887,0.9548101779251243,0.9557019166164612,0.9554180775074969
170,0.9033834503226067,0.9050019361211331,0.9047367733184964,0.9051119618972995,0.9041968291721169,0.9038626093185897,0.904322824799501,0.9050374132035497,0.9062598418841564,0.9029501223071341
480,0.730555191404981,0.7315559271945831,0.7292214522552568,0.7309091290120734,0.7306298639089562,0.7334262725210084,0.7313453350759256,0.7300244399245409,0.7323384550888586,0.7322465536234555
670,0.6227777590149918,0.6219822203286433,0.6185254138556392,0.6218613810922349,0.6222363974124939,0.6232300982544989,0.6242042772227485,0.6202252805807769,0.6188185621801529,0.625417740929673
860,0.5151780102881937,0.51867475781565,0.5149608205523044,0.5154389241233073,0.5171002293926803,0.5152173616799187,0.5170850321776228,0.5153169731058642,0.5175739582183498,0.5156758213802913
990,0.4422949550983226,0.4431137438345639,0.44117918619500235,0.43946661759048067,0.4458433756051923,0.44396764339559447,0.44697057716170313,0.441815390511864,0.4470126636777756,0.4438204790837479
1150,0.3524684282984192,0.35231088734283594,0.3518323487083448,0.35131846342158723,0.35548283264160396,0.3504447482806736,0.35587132093118873,0.3499127757641643,0.3524409605273311,0.3555105930189663
1287,0.2719033921355065,0.27717695823448296,0.2747685656525098,0.2772190183147778,0.2706891292549533,0.27617570871292313,0.27472553065155586,0.27410873384591355,0.2782246251846389,0.2737207700303969
1378,0.22919900712592248,0.2222064671773242,0.22260525288823216,0.2262086948815716,0.22270941336967198,0.22218826011887807,0.22218878655037363,0.22410498744302057,0.22216771165199706,0.21987213482299275
1453,0.18424424936714354,0.18081935783189398,0.18135372913967215,0.1829599220341162,0.1796852375242266,0.1785569612996556,0.18335759389887385,0.18213635558913663,0.18083130949132414,0.18149459309033333
1516,0.14469698159950284,0.1462220631929614,0.14753051282131874,0.1472781644716581,0.14805210867021668,0.14538123843183473,0.14527533162077946,0.14632377516857553,0.14851596471325576,0.1474833898248438
1617,0.09049481668528862,0.09110763180799204,0.0895761211493138,0.08866428071437829,0.08944773885023752,0.089304415669489,0.08954914835529337,0.08801614196280921,0.0915148462451908,0.08816873249145013
1772,0.0022041632525221237,0.002336178826030851,0.002451645642286944,0.002734603276598293,0.0024837634490256473,0.00225479633407988,0.0022944021137525474,0.0023450169146474677,0.0020066715096680376,0.0020822023860918837
