,Letters SSE (left)
1,5626499.999999999
2,5623126.959540363
3,5619980.397323806
4,5616241.552906178
5,5612764.223364648
6,5611415.54119987
7,5606099.323475054
8,5603638.8850546405
9,5601048.127711103
10,5596751.289805984
