,Letters log-likelihood
1,-2128.407799807384
2,-2125.252084964769
3,-2121.401009305676
4,-2092.2404687546564
5,-2085.7706691195076
6,-2078.2102483188996
7,-1835.643199046634
8,-2060.1276173863366
9,-1912.5798187980542
10,-717.1551326123093
