,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.4915308952331543,0.8024236209156789,0.011907434463500977,0.0003902441711830701,0.1,"(50, 50)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 1}",0.0762902019446522,0.08487269096355467,0.07671164417791104,0.07513148009015777,0.0824974924774323,0.0791,0.0038529893421433937,171,0.08543373569328913,0.07646617481555583,0.08163520440055007,0.07802836259136628,0.08474893829627779,0.08126248315940782,0.0035540891329382965
1,4.025479316711426,1.3874397996308812,0.013664054870605468,0.002469134791987192,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.1418598853153827,0.1527708437343984,0.15792103948025987,0.16303531179564237,0.15045135406218657,0.1532,0.007148875707773688,146,0.15498154981549817,0.16675003126172314,0.15464433054131765,0.1536827637908415,0.1528228828378716,0.1565763116494504,0.0051427859008907895
2,8.511889362335205,1.5340091748279625,0.013663673400878906,3.2340669551493016e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.45150835203191225,0.4565651522715926,0.45952023988005997,0.46431254695717505,0.4631394182547643,0.459,0.004642077924369873,128,0.4947776596410032,0.4665499562335876,0.4861857732216527,0.46467170612856873,0.48438670996752436,0.4793143610384673,0.011742197456641035
3,10.56226897239685,1.5685859441596792,0.013663959503173829,5.309833872633002e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.5529793069060085,0.5776335496754867,0.5779610194902549,0.586526421237165,0.5732196589769308,0.57365,0.01121281344325994,106,0.5934079679779849,0.596661247967988,0.6015126890861358,0.598050852751921,0.5982388208843368,0.5975743157336734,0.00262189189916245
4,13.437517881393433,3.6795235700209745,0.014640712738037109,0.0008719728896614974,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.7279980054849164,0.7700948577134299,0.7611194402798601,0.7813673929376409,0.7670511534603811,0.7615,0.01802411101148466,86,0.7781599849896804,0.795548330623984,0.7795349418677334,0.8030861498094584,0.7850362228328753,0.7882731260247464,0.009606906909487187
5,13.985008764266968,3.459488494738488,0.014145231246948243,0.0006069441131413758,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8658688606332585,0.8729405891163255,0.8500749625187406,0.8384673178061608,0.8457873620862588,0.85465,0.012821306368365886,45,0.9034336106072925,0.9060272602225835,0.8776097012126516,0.8728681201974137,0.8675993005246065,0.8855075985529096,0.016032708797820757
6,15.246481943130494,2.4448802161286163,0.013858890533447266,0.0003904821380966945,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 12}",0.8740962353527798,0.890664003994009,0.889055472263868,0.8660155271725519,0.8866599799398195,0.8813,0.0096112427453455,28,0.9171305272374758,0.9239714893084907,0.9268658582322791,0.8980446054851002,0.9127529352985261,0.9157530831123746,0.01015405722229612
7,15.934367990493774,4.061461059647208,0.014640092849731445,0.0008737308854041551,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.9057591623036649,0.9116325511732402,0.8913043478260869,0.873779113448535,0.9127382146439318,0.89905,0.014751441209912248,19,0.9355181687410095,0.9416031011629361,0.920740092511564,0.9031048916099207,0.9434174369223083,0.9288767381895477,0.015151857397362939
8,16.545707511901856,2.2867864192731444,0.014054298400878906,0.0004778126751595362,0.1,"(50, 50)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 16}",0.894041386187983,0.919370943584623,0.9110444777611194,0.9090909090909091,0.9117352056168505,0.90905,0.008291319654265052,12,0.9268246919757334,0.9435413279979993,0.9366170771346418,0.9443368526269758,0.9362353235073695,0.9375110546485439,0.006317922880603708
9,2.20927357673645,0.8207554541553729,0.009955167770385742,0.0003899342676283299,0.1,"(50,)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 1}",0.07678883071553229,0.07963055416874688,0.08370814592703649,0.08014024542950163,0.07773319959879639,0.0796,0.0023906687227512498,167,0.08655950966289323,0.07827935475803427,0.08288536067008376,0.0836509027300556,0.0776292780414689,0.08180088117250714,0.0033777697264405263
10,2.3738268852233886,0.3273999475080583,0.009577655792236328,0.00039755929104466945,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.13263525305410123,0.14253619570644033,0.15092453773113443,0.15126471324818433,0.14593781344032097,0.14465,0.006840275531492177,156,0.14710113202826944,0.15124421658121795,0.14458057257157145,0.1466858249515837,0.14920059955033724,0.14776246913659594,0.0022764788414366874
