,Letters log-likelihood
2,-425.49935880181187
3,-307.5190913636982
4,-322.2459573405281
5,-323.27091164930084
6,-317.28647619889415
7,-315.884595706411
8,-166.3726283498321
9,-116.81226734851636
10,-67.86048776517796
