,Letters SSE (left)
2,1129807.6953517743
3,1126558.2736453668
4,1123187.4497415726
5,1119883.9577092212
6,1118297.274223824
7,1113585.0810011686
8,1111961.969113735
9,1107881.8760657166
10,1105718.8471819
